album_name,artists,name,popularity,release_date,track_duration,track_id
Might Delete Later,J. Cole,Stickz N Stonez,77,2024-04-05,200786,1tTKy8pW1dMaXJm7bYrSzA
Older,Lizzy McAlpine,Like It Tends To Do,65,2024-04-05,205960,0UmNhsqUlGWs9h44hIQNAm
Through the Smoke,Nate Smith,Bulletproof,57,2024-04-05,183919,6rVuwfysYo1Bp4Hoc4YuE0
Bryson Tiller,Bryson Tiller,Rich Boy,65,2024-04-05,141827,6TJcnosIlDjN5RBdkCphXJ
overseas,Ken Carson,overseas,77,2024-04-12,141031,7ovB5FvDwq1g7AG9ICYaNY
I'M DOING IT AGAIN BABY!,girl in red,You Need Me Now? (feat. Sabrina Carpenter),62,2024-04-12,186377,34qaGPDvfWqp3F4iD5nGhf
Live on Mountain Stage: Outlaws & Outliers,Molly Tuttle,You Didn't Call My Name - Live,0,2024-04-19,247493,2JqL3oEsSoa7qegKLdtmJE
CHILDREN OF THE SLUMS,Mozzy,I CAN’T GO OUT (feat. Afira),0,2024-04-19,177332,16bjWKVGfmeMMHICd1E47W
It Is What It Is,Rachel Chinouriri,It Is What It Is - Acapella,0,2024-04-19,155950,3ItRCYC4CfKbfLPekrXXSw
Don't Forget Me,Maggie Rogers,It Was Coming All Along,65,2024-04-12,207280,2SSdjwuUQlkO0s6Kb4II8x
COWBOY CARTER,Beyoncé,THE LINDA MARTELL SHOW,48,2024-03-29,28069,3wcZlxfu4i6TROB5YV83wh
b i g f e e l i n g s,WILLOW,b i g f e e l i n g s,61,2024-04-11,264133,0Xfkeu82ju4uni0CH2z9XN
MANIFESTING 20-05,Feid,Pa Janguiar,68,2024-04-10,225786,6M3Wbw9M57Kaw2wXSMyjyf
Silence Is Loud,Nia Archives,Crowded Roomz,44,2024-04-12,172389,0JH3rxj9e7cY8T1QFgr5mQ
Fireworks & Rollerblades,Benson Boone,Intro,71,2024-04-05,62287,4ZuIZH78dteLeq4KAApART
Don't Forget Me,Maggie Rogers,All The Same,60,2024-04-12,227440,5n2G96C5E69C2ciGwZkoFZ
11:11 (Deluxe),Chris Brown,Sweet Lullaby,61,2024-04-11,223938,7zqY5X6cDh8h1rJEdBykhv
Bryson Tiller,Bryson Tiller,Random Access Memory [RAM] (feat. Clara La San),67,2024-04-05,144112,6R55Qoa7SRZ744U85UdMVp
WE STILL DON'T TRUST YOU,Future,We Still Don't Trust You,82,2024-04-12,252920,7sVbKoBdhXtYCEOO6qC1SN
WE STILL DON'T TRUST YOU,Future,Nights Like This,75,2024-04-12,232266,6c0rii1TOf2fvq3hhqqExW
Your Day Will Come,Chanel Beads,I Think I Saw,0,2024-04-19,191000,434UF0xWmXsmzrKtU9SJf4
NASHVILLE TENNESSEE,ERNEST,Small Town Goes,44,2024-04-12,179883,0lAbpcF5UWZOGfXOV0MZDD
Illusion,Dua Lipa,Illusion - Instrumental,63,2024-04-11,187022,6qszJ4PtfQSe9Fs3A0zIIi
Mood Swings,Marcus King,Mood Swings,50,2024-04-05,205026,3j3AQiQEe24de1EcYqVxc3
un mechón de pelo,TINI,me voy,65,2024-04-11,140151,5AmSJDXYdxaU1B8eCrxaqb
COWBOY CARTER,Beyoncé,JOLENE,85,2024-03-29,189638,2PmMh2t7jAtN6cqFooA0Xy
Scarlet 2 CLAUDE,Doja Cat,Often,54,2024-04-05,198106,62cYM5sFNakxAElX0qM7sl
Older,Lizzy McAlpine,March,62,2024-04-05,161493,4u1cRUVmE8jGI36hht6nRl
Strong,Tyler Hubbard,BNA,39,2024-04-12,146944,0I8VFYuKIRFmtv5DPgTjqP
Nasty,Tinashe,Nasty,63,2024-04-12,176027,6NjWCIYu1W8xa3HIvcIhd4
Only God Was Above Us,Vampire Weekend,Prep-School Gangsters,69,2024-04-05,228546,0NiaHPlgDp7081zSqXuULS
I'M DOING IT AGAIN BABY!,girl in red,Phantom Pain,58,2024-04-12,171745,2X05EASOuBv6aRQRJoGI1i
Scarlet 2 CLAUDE,Doja Cat,Fuck The Girls (FTG),58,2024-04-05,152866,3TDnApyHWsMzCzpQLdUSg0
CHILDREN OF THE SLUMS,Mozzy,EBONY FROM 12TH,0,2024-04-19,160011,2kNqUg6LmLexqaAQt5r8my
Don't Forget Me,Maggie Rogers,On & On & On,63,2024-04-12,154200,5UNaXVDqe7AJ8Fxn0sxnsS
Bryson Tiller,Bryson Tiller,Waterfalls,62,2024-04-05,104539,1Sx5FQ2YCfSamun0xtUr9c
Keep It Up,Good Neighbours,Keep It Up,67,2024-04-05,156524,3B7cm8w1IAfOfgQHFvAsft
Older,Lizzy McAlpine,You Forced Me To,63,2024-04-05,183800,3OsrfBSArPIfUXAO6sXd8i
Scarlet 2 CLAUDE,Doja Cat,PISS,68,2024-04-05,155373,7oZ3BHE9ZzWS3DpjD9RBOl
Papercuts,Linkin Park,Numb,54,2024-04-12,187508,5nB5ugvN8ica2Dy2vFPtln
11:11 (Deluxe),Chris Brown,Freak (feat. Lil Wayne Joyner Lucas & Tee Grizzley),66,2024-04-11,247445,4FXL19CnaMVS1HzRFl1BzS
Through the Smoke,Nate Smith,Make It With You (feat. The War And Treaty),54,2024-04-05,161667,4bjec7Fo1bmV4svzKEtXAo
WE STILL DON'T TRUST YOU,Future,Always Be My Fault,73,2024-04-12,246666,1FIwzmULOKGNmo5bOJqW0P
WE STILL DON'T TRUST YOU,Future,Nobody Knows My Struggle,73,2024-04-12,205720,7nQXU7lu0RhVOSmsa3teKj
WE STILL DON'T TRUST YOU,Future,Out Of My Hands,76,2024-04-12,243040,2BOpFmZQ89Rjm2wvmud1MU
FINAL (Vol.2),Enrique Iglesias,Me Voy Acostumbrando,53,2024-03-29,192983,4whXahq4SMZQM1f6z5t8lg
I'M DOING IT AGAIN BABY!,girl in red,DOING IT AGAIN BABY,60,2024-04-12,145272,6LK3rmeoEfVYtH8B6qbwZg
I'M DOING IT AGAIN BABY!,girl in red,New Love,57,2024-04-12,172007,1WFNU6zWFu5BpSiQOAVTAO
Papercuts,Linkin Park,Leave Out All The Rest,55,2024-04-12,209390,6h1BS898UVV4VXswVVtPSt
Through the Smoke,Nate Smith,Hollywood,53,2024-04-05,203579,0LlZLe2LpXo62SNndPxCkn
Ehhthang Ehhthang,GloRilla,Nun Of Dem,63,2024-04-05,150588,76ENXK6WuaJ07V86r3WY4g
COWBOY CARTER,Beyoncé,II MOST WANTED,88,2024-03-29,208521,1UP7PXne1lIYZB5G5aiRGL
Mood Swings,Marcus King,Delilah,49,2024-04-05,263933,7v4FF3DWuUfRecyXWCgoQY
NASHVILLE TENNESSEE,ERNEST,You Don't Have To Die,43,2024-04-12,228767,0wJmXxgBjAN8OrStWjEJS9
Illusion,Dua Lipa,Illusion,84,2024-04-11,188143,59xD5osEFsaNt5PXfIKUnX
Silence Is Loud,Nia Archives,Cards On The Table,45,2024-04-12,176913,439l3vOlp3r3FAuoGjZtJo
Might Delete Later,J. Cole,Huntin’ Wabbitz,81,2024-04-05,162026,2cH8wHImerFokgmhjyhCTU
Bad For Me,Chayce Beckham,If I Had A Week,36,2024-04-05,190814,5bmYZ07tYpgvVQK3gnMdes
Ehhthang Ehhthang,GloRilla,GMFU - Pt. 2,63,2024-04-05,140240,7ubbOAVhD9wGmacOPt8pno
A LA SALA,Khruangbin,Juegos y Nubes,64,2024-04-05,124177,231a0JtwO0iYOeHsjbFVzI
Scarlet 2 CLAUDE,Doja Cat,Shutcho,56,2024-04-05,187400,6BUyevrKUVyXwk1kRMFEU0
Alienated,ZAYN,Alienated,70,2024-04-12,247613,3Mc9WnQJxBDKBHpys9O1Bw
Live on Mountain Stage: Outlaws & Outliers,Rhiannon Giddens,Black Is the Color - Live,0,2024-04-19,323059,1dtUD4pcY0zLVpxqOctm3m
11:11 (Deluxe),Chris Brown,Run Away (feat. Bryson Tiller),66,2024-04-11,207339,5JrQ1Jc3udCcAJasEpH0Ov
WE STILL DON'T TRUST YOU,Future,Came to the Party,73,2024-04-12,198080,0ho8zpOysOSWZM9C4jALaV
ES SOLO MÚSICA,iñigo quintero,Lo Que Queda de Mí,0,2024-04-19,230867,1rmZc6i3nZ4wxcRaEAOkg8
I'M DOING IT AGAIN BABY!,girl in red,Ugly Side,57,2024-04-12,174847,43bVi48NVZVDClxsXksTtC
Your Day Will Come,Chanel Beads,Police Scanner,0,2024-04-19,142456,2M8VHnYfCGxS0DDA8n0yXX
MANIFESTING 20-05,Feid,No Digas Na,71,2024-04-10,208386,2iPoYcC5x7gylwRyCwzFxI
Don't Forget Me,Maggie Rogers,The Kill,69,2024-04-12,251600,06qDEAG26TspT2yK2NLgEZ
Live on Mountain Stage: Outlaws & Outliers,Tim O'Brien,Cup of Sugar - Live,0,2024-04-19,215880,65hbVw97XKpIapxFFrrKeO
FINAL (Vol.2),Enrique Iglesias,ASI ES LA VIDA,67,2024-03-29,172095,33ggWc1Nai6fcNb2qM4lJ7
Only God Was Above Us,Vampire Weekend,Mary Boone,66,2024-04-05,266026,6OjwIdLlkjCLuOThOwODEY
Bad For Me,Chayce Beckham,Addicted And Clean,41,2024-04-05,240373,5lv9EWq0QFIbhXQEufBTSS
Bryson Tiller,Bryson Tiller,Prize,65,2024-04-05,168213,4mpROZ2Z2chgoh7TPywPWU
COWBOY CARTER,Beyoncé,MY ROSE,81,2024-03-29,53442,486YUqcmF9IWPkreU0THcQ
FINAL (Vol.2),Enrique Iglesias,Como Yo,49,2024-03-29,175535,5kQzvJSDOMMbyoW2YaIiLU
Might Delete Later,J. Cole,Fever,78,2024-04-05,142640,6XkIQqAsFjk1XfD4L7G6qR
Strong,Tyler Hubbard,Vegas,41,2024-04-12,182600,4AButWKnWkGXovvPb3spi9
WE STILL DON'T TRUST YOU,Future,We Still Don't Trust You,84,2024-04-12,252920,7sVbKoBdhXtYCEOO6qC1SN
Live on Mountain Stage: Outlaws & Outliers,Steve Earle,You Know the Rest - Live,0,2024-04-19,150990,1jinQrKNw1FkYdsoMGdteX
Scarlet 2 CLAUDE,Doja Cat,MASC (feat. Teezo Touchdown),74,2024-04-05,205933,0FdW7MEbDKdz8v5TXqcFkG
Might Delete Later,J. Cole,Ready ‘24 (feat. Cam’ron),78,2024-04-05,210133,4J9WveqdoaEUQu1aeoSH9X
ES SOLO MÚSICA,iñigo quintero,Nada Cambia,0,2024-04-19,178242,2BTFQLHMBvzZlHY4IaIKpl
Bad For Me,Chayce Beckham,Everything I Need,41,2024-04-05,211688,4IfMDVhKFMvKENVXbMJAW6
Forever To Me,Cole Swindell,Forever To Me,56,2024-04-12,179666,38RJG8nLAwGycitlHOiifP
un mechón de pelo,TINI,buenos aires,68,2024-04-11,203114,3eNenN5eoBwMRNPkmoyk81
Eyes Closed,Imagine Dragons,Eyes Closed,82,2024-04-03,200010,4o120XeV8els1S5bu7mzBX
Papercuts,Linkin Park,CASTLE OF GLASS,57,2024-04-12,205394,2rLaeazDDZz0gGFZhFy8AI
CHILDREN OF THE SLUMS,Mozzy,STILL HURT,0,2024-04-19,140304,2POfZSE9eTKEdVAHLkcWvF
Papercuts,Linkin Park,One Step Closer,56,2024-04-12,155647,5HF9UMFDYEmVDpJoDbXxcA
