Album,Artist,Track ID,Track Name,Track URI,acousticness,danceability,popularity,speechiness,valence,liveness,instrumentalness,mode,energy
Fireworks & Rollerblades,Benson Boone,1j2iMeSWdsEP5ITCrZqbIL,Be Someone,spotify:track:1j2iMeSWdsEP5ITCrZqbIL,0.00819,0.68,70,0.0427,0.608,0.0754,0.0,1,0.82
Lejos de Ti,The Marías,4ZKpTM2wfcj4Mg3vRHH66m,Lejos de Ti,spotify:track:4ZKpTM2wfcj4Mg3vRHH66m,0.88,0.549,62,0.029,0.432,0.12,0.656,1,0.473
A LA SALA,Khruangbin,1k9NCfhr7kBZThlVSdXJFa,Ada Jean,spotify:track:1k9NCfhr7kBZThlVSdXJFa,0.019,0.508,62,0.026,0.527,0.677,0.838,0,0.495
Skin to Skin,Amira Elfeky,7kl407h3NUrKVv2gAUHAcR,Coming Down,spotify:track:7kl407h3NUrKVv2gAUHAcR,6.02E-4,0.432,39,0.0405,0.174,0.131,0.00212,1,0.734
11:11 (Deluxe),Chris Brown,5ygeg1X2dnjqJEPL7oTgUI,Messed Up,spotify:track:5ygeg1X2dnjqJEPL7oTgUI,0.0319,0.624,20,0.0445,0.256,0.111,0.0,1,0.554
Sweet Boy,Malcolm Todd,5vPUv0xziXbV4lnWeVNXNq,Roommates,spotify:track:5vPUv0xziXbV4lnWeVNXNq,0.619,0.755,51,0.0311,0.437,0.114,1.34E-6,0,0.292
Don't Forget Me,Maggie Rogers,5n2G96C5E69C2ciGwZkoFZ,All The Same,spotify:track:5n2G96C5E69C2ciGwZkoFZ,0.864,0.503,"",0.036,0.0984,0.111,5.61E-4,1,0.221
The 502s,The 502s,0PL2YNyA1zBHP1clfnXkmI,Something's Gonna Go Our Way,spotify:track:0PL2YNyA1zBHP1clfnXkmI,0.253,0.616,"",0.0414,0.755,0.137,3.02E-6,1,0.879
GOD IS GOOD,Forrest Frank,2gmqnkY0jrfz3vnO4FVS4p,GOD IS GOOD,spotify:track:2gmqnkY0jrfz3vnO4FVS4p,0.00447,0.629,"",0.103,0.319,0.319,2.09E-4,0,0.712
Ohio Players,The Black Keys,1jQYT0KG0RIa2sDNzaeeHi,Fever Tree,spotify:track:1jQYT0KG0RIa2sDNzaeeHi,0.0196,0.31,56,0.039,0.238,0.146,0.0,1,0.781
Endiamantado / Entre las de 20,Bizarrap,73jUrU4QX6Xt2xQgyqttb4,"Natanael Cano: Bzrp Music Sessions, Vol. 59",spotify:track:73jUrU4QX6Xt2xQgyqttb4,0.276,0.533,80,0.242,0.759,0.0955,0.0,0,0.698
FINAL (Vol.2),Enrique Iglesias,33ggWc1Nai6fcNb2qM4lJ7,ASI ES LA VIDA,spotify:track:33ggWc1Nai6fcNb2qM4lJ7,0.685,0.823,64,0.0561,0.962,0.108,1.65E-6,0,0.882
L o s e M y M i n d,PARTYNEXTDOOR,045HA3O9DH9S6AY8pu7BZv,R e s e n t m e n t,spotify:track:045HA3O9DH9S6AY8pu7BZv,0.616,0.572,32,0.0398,0.333,0.121,0.0238,1,0.228
Scarlet 2 CLAUDE,Doja Cat,2Ke8xquzK9JyPt6OPGBVTI,ACKNOWLEDGE ME,spotify:track:2Ke8xquzK9JyPt6OPGBVTI,0.382,0.484,67,0.0665,0.375,0.297,0.0,0,0.675
"NASHVILLE, TENNESSEE",ERNEST,5PvXlgNpBlymLeIlBQmvXq,If You Don't Know By Now,spotify:track:5PvXlgNpBlymLeIlBQmvXq,0.689,0.542,"",0.0254,0.232,0.144,0.0303,1,0.415
Only God Was Above Us,Vampire Weekend,1vfG5VaQQzr7x7gCbVyQFF,Pravda,spotify:track:1vfG5VaQQzr7x7gCbVyQFF,0.455,0.592,61,0.0321,0.37,0.304,0.178,1,0.502
Papercuts,Linkin Park,5HF9UMFDYEmVDpJoDbXxcA,One Step Closer,spotify:track:5HF9UMFDYEmVDpJoDbXxcA,0.00548,0.468,"",0.0528,0.396,0.123,5.88E-6,1,0.976
EAT THE BASS,John Summit,1ViErUfDfWkXPXTsjj3kyh,EAT THE BASS,spotify:track:1ViErUfDfWkXPXTsjj3kyh,0.00226,0.684,46,0.0483,0.408,0.119,0.00929,1,0.785
Fireworks & Rollerblades,Benson Boone,3h76tbaYIamSeJL81X7ZwI,Cry,spotify:track:3h76tbaYIamSeJL81X7ZwI,0.104,0.711,78,0.0365,0.352,0.0894,1.55E-5,1,0.48
Found Heaven,Conan Gray,056bKm6W5j9QodOftRznUV,Bourgeoisieses,spotify:track:056bKm6W5j9QodOftRznUV,0.0242,0.607,69,0.0326,0.721,0.0517,0.0,0,0.654
All I Ever Want Is Everything,Blu DeTiger,2H0z5zSoh6qgYbyqWCoO40,I’ll Never Tell,spotify:track:2H0z5zSoh6qgYbyqWCoO40,0.476,0.716,34,0.04,0.672,0.523,4.84E-5,1,0.622
Alter Ego (with JT),Doechii,2xaaJcmvMOmpDbTwlWnjFh,Alter Ego (with JT),spotify:track:2xaaJcmvMOmpDbTwlWnjFh,0.00877,0.843,69,0.0645,0.673,0.529,3.0E-6,1,0.72
A LA SALA,Khruangbin,5yVGW2o9LXaiiS4I3HUM3k,May Ninth,spotify:track:5yVGW2o9LXaiiS4I3HUM3k,0.353,0.609,64,0.0364,0.531,0.138,0.855,0,0.356
Charged Up,Tink,4HN6CicOpFp1nrkxHFM3Gt,Charged Up,spotify:track:4HN6CicOpFp1nrkxHFM3Gt,0.658,0.518,38,0.175,0.489,0.196,0.0,0,0.592
un mechón de pelo,TINI,60Mgo3LnlAMy7TzhvVZUHA,posta,spotify:track:60Mgo3LnlAMy7TzhvVZUHA,0.292,0.733,"",0.109,0.374,0.0972,0.0,0,0.56
Scarlet 2 CLAUDE,Doja Cat,79tpPm2X79vIL3Iuk6vRZz,Wet Vagina,spotify:track:79tpPm2X79vIL3Iuk6vRZz,0.0207,0.804,57,0.0896,0.192,0.107,1.86E-5,0,0.656
You Promised A Lifetime,Myles Smith,3nsVmer6MSwhmau3I1nRzI,River,spotify:track:3nsVmer6MSwhmau3I1nRzI,0.38,0.764,48,0.0293,0.768,0.14,0.0,0,0.502
Strong,Tyler Hubbard,4UdvVA89evbBrj6hnDa5oM,Wish You Would,spotify:track:4UdvVA89evbBrj6hnDa5oM,0.00768,0.548,"",0.0482,0.622,0.182,0.0,1,0.912
un mechón de pelo,TINI,7iqWxH5QBMBKOPV8PzU482,bien,spotify:track:7iqWxH5QBMBKOPV8PzU482,0.0703,0.597,"",0.178,0.708,0.048,0.0,1,0.722
11:11 (Deluxe),Chris Brown,5naxnY7TcgX1pSSvQ725JP,Red Flags,spotify:track:5naxnY7TcgX1pSSvQ725JP,0.0939,0.702,18,0.0597,0.476,0.131,0.0,0,0.539
Sweet Boy,Malcolm Todd,5l6Jiee2LliSKnmietqO0e,Rockstar Boyfriend,spotify:track:5l6Jiee2LliSKnmietqO0e,0.344,0.571,41,0.194,0.701,0.119,0.579,1,0.541
Don't Forget Me,Maggie Rogers,5tlXwZ4m7dbRZyG4natJZ1,Don't Forget Me,spotify:track:5tlXwZ4m7dbRZyG4natJZ1,0.357,0.493,"",0.0445,0.451,0.132,0.0,1,0.55
Pandora,Wisp,3SBhQh5X7tO8ejCMUdjSRu,Pandora,spotify:track:3SBhQh5X7tO8ejCMUdjSRu,8.96E-5,0.209,56,0.0486,0.108,0.263,0.888,1,0.823
Sweet Boy,Malcolm Todd,4RhEjZ6bRhEMNvTWVNlato,Pillow,spotify:track:4RhEjZ6bRhEMNvTWVNlato,0.875,0.511,39,0.0331,0.379,0.102,1.57E-5,1,0.424
Older,Lizzy McAlpine,61k8ZA1BqCYXOrevJtzuH8,The Elevator,spotify:track:61k8ZA1BqCYXOrevJtzuH8,0.958,0.409,66,0.0272,0.281,0.12,2.88E-4,1,0.184
I'M DOING IT AGAIN BABY!,girl in red,2X05EASOuBv6aRQRJoGI1i,Phantom Pain,spotify:track:2X05EASOuBv6aRQRJoGI1i,0.0471,0.358,"",0.0961,0.282,0.29,3.85E-6,1,0.832
FINAL (Vol.2),Enrique Iglesias,140VTZ2BNpnR5sLbSpw5Dh,Space in My Heart,spotify:track:140VTZ2BNpnR5sLbSpw5Dh,0.296,0.599,50,0.0248,0.202,0.0975,7.13E-6,1,0.488
Found Heaven,Conan Gray,5468fNbvpCnangJjmnc5V0,Never Ending Song,spotify:track:5468fNbvpCnangJjmnc5V0,0.00666,0.577,65,0.0329,0.555,0.319,2.63E-5,1,0.803
Through the Smoke,Nate Smith,6rVuwfysYo1Bp4Hoc4YuE0,Bulletproof,spotify:track:6rVuwfysYo1Bp4Hoc4YuE0,0.0361,0.444,54,0.0394,0.519,0.114,0.0,1,0.727
FINAL (Vol.2),Enrique Iglesias,5kQzvJSDOMMbyoW2YaIiLU,Como Yo,spotify:track:5kQzvJSDOMMbyoW2YaIiLU,0.0119,0.668,49,0.0429,0.427,0.32,6.93E-6,0,0.794
Papercuts,Linkin Park,1wZox7b6jsQUaroJBnfk26,What I've Done,spotify:track:1wZox7b6jsQUaroJBnfk26,0.0135,0.625,"",0.0313,0.305,0.16,0.0,1,0.917
Mood Swings,Marcus King,3j3AQiQEe24de1EcYqVxc3,Mood Swings,spotify:track:3j3AQiQEe24de1EcYqVxc3,0.504,0.375,47,0.445,0.47,0.668,0.00625,1,0.747
Strong,Tyler Hubbard,0I8VFYuKIRFmtv5DPgTjqP,BNA,spotify:track:0I8VFYuKIRFmtv5DPgTjqP,0.00774,0.714,"",0.0531,0.943,0.0779,4.64E-6,1,0.937
Country,Medium Build,3WghcqikIY7SYGoSCxjuGK,Can’t Be Cool Forever,spotify:track:3WghcqikIY7SYGoSCxjuGK,0.668,0.513,42,0.269,0.777,0.0737,0.0,1,0.626
Bad For Me,Chayce Beckham,5NU6kBZORKaoqS09mOqgXs,23,spotify:track:5NU6kBZORKaoqS09mOqgXs,0.278,0.628,63,0.0327,0.38,0.142,0.0,0,0.584
Silence Is Loud,Nia Archives,4k0dvc4bKxVCupuk0UOVVV,F.A.M.I.L.Y,spotify:track:4k0dvc4bKxVCupuk0UOVVV,0.0977,0.625,"",0.0533,0.141,0.105,0.455,1,0.861
Don't Forget Me,Maggie Rogers,5UNaXVDqe7AJ8Fxn0sxnsS,On & On & On,spotify:track:5UNaXVDqe7AJ8Fxn0sxnsS,0.131,0.624,"",0.0368,0.824,0.17,0.0,1,0.828
The 502s,The 502s,1vh5qHnr021ntNbQ3Cq7NR,If Good Times Were Dollars,spotify:track:1vh5qHnr021ntNbQ3Cq7NR,0.0199,0.658,"",0.0555,0.776,0.147,1.04E-4,1,0.798
Don't Forget Me,Maggie Rogers,1cDQku650Uev3TnRGdlbE5,Never Going Home,spotify:track:1cDQku650Uev3TnRGdlbE5,0.07,0.64,"",0.0325,0.54,0.0965,0.0,1,0.756
11:11 (Deluxe),Chris Brown,4FXL19CnaMVS1HzRFl1BzS,"Freak (feat. Lil Wayne, Joyner Lucas & Tee Grizzley)",spotify:track:4FXL19CnaMVS1HzRFl1BzS,0.00795,0.797,33,0.289,0.42,0.13,0.0,1,0.643
Townie,X Ambassadors,2L6bK5oWN9QH8WY2ziRSM6,Your Town,spotify:track:2L6bK5oWN9QH8WY2ziRSM6,0.546,0.487,43,0.0616,0.248,0.28,7.47E-6,1,0.32
L o s e M y M i n d,PARTYNEXTDOOR,5W3chbCpb4D26ugjRHQW28,H e r O l d F r i e n d s,spotify:track:5W3chbCpb4D26ugjRHQW28,0.353,0.645,32,0.0568,0.0749,0.123,0.0,0,0.569
Mood Swings,Marcus King,3kradCzPXgyS4BuZGgrGuH,Me Or Tennessee,spotify:track:3kradCzPXgyS4BuZGgrGuH,0.518,0.501,42,0.252,0.555,0.643,2.15E-4,1,0.819
Illusion,Dua Lipa,59QO0lJJgJdHt36rfBdKoG,Illusion - Extended,spotify:track:59QO0lJJgJdHt36rfBdKoG,0.0765,0.692,"",0.0407,0.416,0.0985,1.59E-4,1,0.767
Ehhthang Ehhthang,GloRilla,7ubbOAVhD9wGmacOPt8pno,GMFU - Pt. 2,spotify:track:7ubbOAVhD9wGmacOPt8pno,0.0148,0.784,59,0.354,0.437,0.119,0.0,0,0.671
"NASHVILLE, TENNESSEE",ERNEST,1rG1Z56THOsA2lG3lGDqzm,Did It For The Story,spotify:track:1rG1Z56THOsA2lG3lGDqzm,0.0205,0.606,"",0.0282,0.546,0.414,9.54E-5,1,0.804
COWBOY CARTER,Beyoncé,2dklP2sRuvcJROlrM8F7Dp,DESERT EAGLE,spotify:track:2dklP2sRuvcJROlrM8F7Dp,0.645,0.691,79,0.0539,0.662,0.328,1.61E-6,1,0.489
Bad For Me,Chayce Beckham,0dZSiJXOSzOG5KBwGfYYnG,Glitter,spotify:track:0dZSiJXOSzOG5KBwGfYYnG,0.33,0.484,39,0.0256,0.323,0.166,0.0,1,0.422
GOD IS GOOD,Forrest Frank,2zaTtGvvV9oqGu3zVm7FDo,ALWAYS,spotify:track:2zaTtGvvV9oqGu3zVm7FDo,0.234,0.85,"",0.0412,0.929,0.468,0.0,0,0.804
Only God Was Above Us,Vampire Weekend,19aa6Goj4OAsZUX8hSt6nW,Ice Cream Piano,spotify:track:19aa6Goj4OAsZUX8hSt6nW,0.115,0.259,65,0.0602,0.252,0.566,0.0,1,0.71
Flea,St. Vincent,28LRSVfLH4wJN8MRsoyr8z,Flea,spotify:track:28LRSVfLH4wJN8MRsoyr8z,0.038,0.483,57,0.0453,0.386,0.35,0.137,1,0.764
b i g f e e l i n g s,WILLOW,0Xfkeu82ju4uni0CH2z9XN,b i g f e e l i n g s,spotify:track:0Xfkeu82ju4uni0CH2z9XN,0.0907,0.662,"",0.0459,0.5,0.315,1.93E-6,1,0.848
FINAL (Vol.2),Enrique Iglesias,6xqUS04bCAYzUF0ralMUgc,Fría,spotify:track:6xqUS04bCAYzUF0ralMUgc,0.144,0.864,55,0.134,0.898,0.157,0.0,1,0.846
Scarlet 2 CLAUDE,Doja Cat,6FQwvwIWIllK01j0Hj6BBS,Love Life,spotify:track:6FQwvwIWIllK01j0Hj6BBS,0.616,0.597,52,0.343,0.649,0.121,0.00299,1,0.622
Strong,Tyler Hubbard,1Ut6MtLigpAO06geZfprr9,'73 Beetle,spotify:track:1Ut6MtLigpAO06geZfprr9,0.133,0.412,"",0.0789,0.369,0.102,0.0,1,0.748
Scarlet 2 CLAUDE,Doja Cat,7erff58xm2H5PNy1238M8A,Demons,spotify:track:7erff58xm2H5PNy1238M8A,1.56E-4,0.831,58,0.229,0.313,0.168,0.0162,1,0.362
"NASHVILLE, TENNESSEE",ERNEST,3C92hGvUP8Qke9xgy0tGOG,One More Heartache,spotify:track:3C92hGvUP8Qke9xgy0tGOG,0.373,0.473,"",0.0281,0.871,0.166,3.97E-6,1,0.756
Country,Medium Build,44TAhB3U27g8OMeHTMC9jQ,Knowing U Exist,spotify:track:44TAhB3U27g8OMeHTMC9jQ,0.897,0.462,43,0.0322,0.571,0.107,0.255,1,0.234
All I Ever Want Is Everything,Blu DeTiger,3YqS0F3Mf9LP9Yi7WpLxTF,Overdrive,spotify:track:3YqS0F3Mf9LP9Yi7WpLxTF,0.00956,0.722,31,0.0339,0.919,0.37,0.139,1,0.846
Ehhthang Ehhthang,GloRilla,5A8xI7PN4WDe9e61xEdt94,Yeah Glo!,spotify:track:5A8xI7PN4WDe9e61xEdt94,0.0185,0.901,66,0.324,0.179,0.137,0.0,0,0.652
All I Ever Want Is Everything,Blu DeTiger,6kJO2cwqudWES9ufMx312O,Kiss,spotify:track:6kJO2cwqudWES9ufMx312O,0.0508,0.756,34,0.036,0.973,0.287,0.00135,1,0.778
The 502s,The 502s,3R6vwFVhPUw32zenbIIpOh,Sweet Enough,spotify:track:3R6vwFVhPUw32zenbIIpOh,0.19,0.548,"",0.0506,0.636,0.694,0.0,0,0.781
Bryson Tiller,Bryson Tiller,49v5ttae4SvGE6XqfP7PY4,Persuasion (feat. Victoria Monét),spotify:track:49v5ttae4SvGE6XqfP7PY4,0.401,0.61,66,0.2,0.585,0.0744,0.0,0,0.647
Older,Lizzy McAlpine,059gVW493dUeBHkn0gE1zm,Older,spotify:track:059gVW493dUeBHkn0gE1zm,0.908,0.391,62,0.0355,0.189,0.118,0.0,1,0.167
Papercuts,Linkin Park,1mKyflGc9bjhRdjKiawuMm,Bleed It Out,spotify:track:1mKyflGc9bjhRdjKiawuMm,0.0948,0.515,"",0.053,0.596,0.599,0.0,1,0.957
Fireworks & Rollerblades,Benson Boone,3OJIdGOHEzxY8V0CNCBBXc,Drunk In My Mind,spotify:track:3OJIdGOHEzxY8V0CNCBBXc,0.565,0.444,68,0.0856,0.383,0.107,0.0,1,0.526
Bryson Tiller,Bryson Tiller,1RPgxA6SbIQI6JYiZUhrzj,http://,spotify:track:1RPgxA6SbIQI6JYiZUhrzj,0.995,0.305,64,0.0536,0.513,0.105,0.81,0,0.217
genre : sadboy,mgk,4nE0WZRoRiSRDVNA8JgRi3,hiding in the hills,spotify:track:4nE0WZRoRiSRDVNA8JgRi3,0.318,0.722,68,0.0632,0.157,0.102,1.45E-6,1,0.581
Found Heaven,Conan Gray,2TjBKnjnOXFaF2zy4W4hfE,Killing Me,spotify:track:2TjBKnjnOXFaF2zy4W4hfE,0.0236,0.658,63,0.0414,0.707,0.489,0.0,0,0.671
Strong,Tyler Hubbard,77Yj5e4GhLYE5NCvtU1UuS,A Lot With A Little,spotify:track:77Yj5e4GhLYE5NCvtU1UuS,0.00171,0.426,"",0.0635,0.427,0.378,0.0,1,0.91
All I Ever Want Is Everything,Blu DeTiger,46mz5y5CLLM1zWa76gwoUh,Imposter Syndrome,spotify:track:46mz5y5CLLM1zWa76gwoUh,0.949,0.512,31,0.0337,0.351,0.0972,2.82E-4,1,0.148
Ehhthang Ehhthang,GloRilla,6yJbMJVWxeW9oWLM15KLGN,Aite (feat. Kevo Muney),spotify:track:6yJbMJVWxeW9oWLM15KLGN,0.0335,0.805,60,0.278,0.384,0.216,0.0,1,0.736
Scarlet 2 CLAUDE,Doja Cat,5chLYJV2XFnrKY5v7uVjra,Agora Hills,spotify:track:5chLYJV2XFnrKY5v7uVjra,0.228,0.75,55,0.097,0.392,0.122,8.91E-5,0,0.674
Ohio Players,The Black Keys,6oY3tlZD6KcO05knDAsZYu,Please Me (Till I’m Satisfied),spotify:track:6oY3tlZD6KcO05knDAsZYu,0.00379,0.48,58,0.138,0.572,0.279,4.75E-5,1,0.957
Way Out Here,Riley Green,0fVtwWhTp2ctRs3P5p8ADQ,Atlantic City,spotify:track:0fVtwWhTp2ctRs3P5p8ADQ,0.023,0.622,"",0.0246,0.447,0.129,5.13E-6,1,0.659
Where The Joy Is,We Are Messengers,6xxM98fP8vECSlDaBh0KUk,I Found Rest,spotify:track:6xxM98fP8vECSlDaBh0KUk,0.0222,0.603,32,0.0365,0.178,0.0985,9.31E-6,0,0.723
1+1=11,Peggy Gou,2HMas4DrtQoPebT1VL52Dr,1+1=11 - Edit,spotify:track:2HMas4DrtQoPebT1VL52Dr,0.00964,0.55,62,0.0318,0.604,0.159,0.893,1,0.926
11:11 (Deluxe),Chris Brown,3XokDgHUxyKwNf1C19XiDj,Feelings Don't Lie,spotify:track:3XokDgHUxyKwNf1C19XiDj,0.0685,0.61,18,0.18,0.675,0.136,0.0,1,0.596
Gamma,Gesaffelstein,5VK6TzBjUBZj4Bmg3kUiaH,Hard Dreams,spotify:track:5VK6TzBjUBZj4Bmg3kUiaH,2.04E-4,0.641,51,0.0495,0.398,0.311,0.0204,1,0.744
Cherry On Top,Ben Platt,0DF8wVT2XN8ICnUvfIF5Ld,Andrew,spotify:track:0DF8wVT2XN8ICnUvfIF5Ld,0.451,0.315,9,0.0292,0.436,0.182,0.0,1,0.367
11:11 (Deluxe),Chris Brown,4i1wik8DtU7eqSEWRsTHuP,Delusional,spotify:track:4i1wik8DtU7eqSEWRsTHuP,0.173,0.625,34,0.0537,0.562,0.359,0.0,0,0.682
Feel It (From The Original Series “Invincible”),d4vd,3SAga35lAPYdjj3qyfEsCF,Feel It - From The Original Series “Invincible”,spotify:track:3SAga35lAPYdjj3qyfEsCF,0.0357,0.622,80,0.0689,0.492,0.221,0.0,1,0.597
favorite,Isabel LaRosa,2ftQtHb1MnRWFQj6R0GP11,favorite sped up - english,spotify:track:2ftQtHb1MnRWFQj6R0GP11,0.00656,0.801,60,0.171,0.479,0.0851,0.116,1,0.54
Townie,X Ambassadors,2mhlxHaCGmSKNooRLmeJyk,Half-Life,spotify:track:2mhlxHaCGmSKNooRLmeJyk,0.149,0.288,45,0.0364,0.124,0.0752,0.0,1,0.305
USB,Fred again..,397GpgLAJnwQDBwIJ8ko1t,ItsNotREEAALLLLLLLL,spotify:track:397GpgLAJnwQDBwIJ8ko1t,0.282,0.768,60,0.0669,0.0446,0.0991,0.785,0,0.729
11:11 (Deluxe),Chris Brown,4JQIGTLXz4oULctglUDpw6,Sensational (feat. Davido & Lojay),spotify:track:4JQIGTLXz4oULctglUDpw6,0.101,0.774,24,0.126,0.797,0.117,0.0,1,0.609
USB,Fred again..,1nzOUWyHoZLzf9EX0pnFPn,leavemealone,spotify:track:1nzOUWyHoZLzf9EX0pnFPn,0.00499,0.68,55,0.0553,0.105,0.574,0.0253,1,0.881
"NASHVILLE, TENNESSEE",ERNEST,5npAWsZnJysJgz2yFJy40e,Why Dallas (feat. Lukas Nelson),spotify:track:5npAWsZnJysJgz2yFJy40e,0.19,0.472,"",0.0596,0.656,0.351,0.0,0,0.767
You Promised A Lifetime,Myles Smith,0zcCGdrTZqUVfWOOgPYLLB,Solo,spotify:track:0zcCGdrTZqUVfWOOgPYLLB,0.715,0.586,53,0.0346,0.365,0.117,0.0,1,0.439
COWBOY CARTER,Beyoncé,5UcUppRaEIBMIHXiUFl7LI,SPAGHETTII,spotify:track:5UcUppRaEIBMIHXiUFl7LI,0.476,0.504,83,0.428,0.333,0.0996,0.0,1,0.624
Pandora,Wisp,5TMGf0iNjOVLOgBf9vgq2O,See you soon,spotify:track:5TMGf0iNjOVLOgBf9vgq2O,0.0136,0.437,43,0.0583,0.224,0.132,0.86,0,0.846
