Album,Artist,Track ID,Track Name,Track URI,acousticness,danceability,popularity,speechiness,valence,liveness,instrumentalness,mode,energy
Ohio Players,The Black Keys,2KpZR7pwzvyujYPb668LD4,Live Till I Die,spotify:track:2KpZR7pwzvyujYPb668LD4,0.00373,0.369,57,0.0433,0.712,0.0543,1.68E-4,1,0.872
Next Semester,Twenty One Pilots,4T8g1HSfIM4tFyGHZffr54,Overcompensate,spotify:track:4T8g1HSfIM4tFyGHZffr54,0.00992,0.363,66,0.0978,0.331,0.134,0.00183,0,0.891
FINAL (Vol.2),Enrique Iglesias,4whXahq4SMZQM1f6z5t8lg,Me Voy Acostumbrando,spotify:track:4whXahq4SMZQM1f6z5t8lg,0.327,0.796,52,0.0451,0.855,0.205,1.52E-4,1,0.78
Papercuts,Linkin Park,4xD1K6jb8J00BDE2u8Wq6z,Friendly Fire,spotify:track:4xD1K6jb8J00BDE2u8Wq6z,0.00675,0.278,"",0.0601,0.252,0.258,0.0,0,0.68
Yellow - Spotify Singles,jxdn,6VDuCryADxIMCNLCfyovtO,Yellow - Spotify Singles,spotify:track:6VDuCryADxIMCNLCfyovtO,0.00131,0.398,"",0.0325,0.252,0.1,8.18E-4,1,0.703
Through the Smoke,Nate Smith,06JJLQ1pKNqaVJX9PGh561,Heart-Shaped Box,spotify:track:06JJLQ1pKNqaVJX9PGh561,0.00182,0.456,49,0.0642,0.304,0.22,0.0,1,0.864
Through the Smoke,Nate Smith,2qNHwLr91x4egeP7nqWzJU,Rather Be Lonely,spotify:track:2qNHwLr91x4egeP7nqWzJU,0.0053,0.528,53,0.0921,0.628,0.102,0.0,1,0.913
11:11 (Deluxe),Chris Brown,2JfRd9fkzyZge8BZzs7aUI,Hmmm (feat. Davido),spotify:track:2JfRd9fkzyZge8BZzs7aUI,0.00665,0.764,36,0.038,0.614,0.213,1.89E-4,1,0.829
Scarlet 2 CLAUDE,Doja Cat,7ySomh970PPhc5CJFlAHLq,Ouchies,spotify:track:7ySomh970PPhc5CJFlAHLq,0.0194,0.854,56,0.139,0.794,0.108,2.41E-6,1,0.808
Strong,Tyler Hubbard,5MPhFys3qJb0eKhNFjylS6,Summer Talkin',spotify:track:5MPhFys3qJb0eKhNFjylS6,0.0404,0.6,"",0.0467,0.76,0.316,0.0,1,0.845
"NASHVILLE, TENNESSEE",ERNEST,4JAfYcZzSSZ9rO9x0YAHBa,Sayin’ You Love Me,spotify:track:4JAfYcZzSSZ9rO9x0YAHBa,0.0969,0.472,"",0.0309,0.576,0.253,7.44E-6,0,0.817
COWBOY CARTER,Beyoncé,7pkqvejfDmeLen9MrnppQr,OH LOUISIANA,spotify:track:7pkqvejfDmeLen9MrnppQr,0.728,0.504,79,0.0408,0.849,0.717,0.313,1,0.378
